query, nbtp,count,countime,var,dv,df,timedv,timedf
SPO_o,1,10916457,0.06946492195129395,o,1005832.0,641.0,178.8253607749939,67.75953483581543
SPO_s,1,10916457,0.06946492195129395,s,521585.0,308.0,116.92363214492798,52.08180093765259
c6_role0_o,2,5264096,18.06692600250244,o,402344.0,222.0,34.039493799209595,21.60726308822632
C6_role1_o,2,2720778,6.4749438762664795,o,204871.0,164.0,12.094146013259888,12.364808082580566
c6_role2_o,2,1851807,19.876948356628418,o,176446.0,135.0,12.224189043045044,8.20875096321106
c6_role0_s,2,5264096,18.06692600250244,s,58629.0,305.0,20.930577754974365,38.13506603240967
C6_role1_s,2,2720778,6.4749438762664795,s,31173.0,295.0,10.160372018814089,12.117546081542969
c6_pc14_o,2,47061,0.17325806617736816,o,22413.0,96.0,0.1623282432556152,0.2941699028015136
c6_role2_s,2,1851807,19.876948356628418,s,21268.0,291.0,12.108550071716309,26.25135612487793
c6_pc3_o,2,36637,0.06949090957641602,o,19934.0,69.0,0.0961217880249023,0.1796050071716308
c6_pc11_o,2,31521,0.16434001922607422,o,15843.0,71.0,0.1199278831481933,0.4336979389190674
c6_pc5_o,2,31190,0.1920490264892578,o,15392.0,69.0,0.1698091030120849,0.2577471733093261
c6_pc10_o,2,30651,0.19310593605041504,o,15258.0,68.0,0.1949970722198486,0.2168257236480713
Q-10169_v2,8,391715,1.1291728019714355,v2,14886.0,93.0,1.3289847373962402,2.228801012039185
c6_pc12_o,2,30872,0.1983778476715088,o,14849.0,68.0,0.1567320823669433,0.188040018081665
Q-1003_v2,8,211989,0.8561532497406006,v2,14818.0,56.0,0.6709020137786865,1.468350887298584
c6_pc9_o,2,30174,0.13272500038146973,o,14598.0,72.0,0.049713134765625,0.1919770240783691
Q-10020_v4,8,7554617,62.55272197723389,v4,11735.0,25.0,107.62063002586363,28.078669786453247
Q-10025_v2,12,243150,2.817080020904541,v2,8530.0,23.0,5.676744222640991,27.95124983787537
Q-10122_v2,8,1821219,216.41471409797668,v2,7272.0,340.0,16.079905033111572,14.433203220367432
Q-10122_v3,8,1821219,216.41471409797668,v3,6346.0,651.0,15.55135703086853,14.712115049362184
Q-10078_v4,8,3932428,33.626258850097656,v4,6189.0,25.0,71.25741410255432,30.329659938812256
Q-10082_v4,8,2663222,31.43181300163269,v4,4205.0,25.0,43.82090401649475,24.835224866867065
c6_pc14_s,2,47061,0.17325806617736816,s,2586.0,68.0,0.1288759708404541,0.2616572380065918
c6_pc9_s,2,30174,0.13272500038146973,s,1719.0,66.0,0.057751178741455,0.1447088718414306
c6_pc12_s,2,30872,0.1983778476715088,s,1711.0,67.0,0.1629719734191894,0.2157139778137207
c6_pc5_s,2,31190,0.1920490264892578,s,1687.0,65.0,0.1531548500061035,0.1774101257324218
c6_pc11_s,2,31521,0.16434001922607422,s,1686.0,70.0,0.0523457527160644,0.0951070785522461
c6_pc10_s,2,30651,0.19310593605041504,s,1673.0,67.0,0.1251609325408935,0.12095308303833
c6_pc3_s,2,36637,0.06949090957641602,s,1659.0,68.0,0.0994541645050048,0.2396438121795654
