query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
query_6731_v1,1,1,2689.0,362.0,10000,1685,1727.9432505543064
query_6731_v1,1,2,2505.0,402.0,10000,874,2086.001838902839
query_6731_v1,1,3,2632.0,374.0,10011,695,1749.63538334801
query_6731_v1,1,4,2624.0,380.0,10003,648,1810.1532111127594
query_6731_v1,1,5,2660.0,374.0,10009,607,1628.6724071750202
query_3841_v9,1,1,3028.0,83.0,10001,1342,4668.748410594749
query_3841_v9,1,2,2997.0,79.0,10001,445,6224.114416117449
query_3841_v9,1,3,3007.0,79.0,10001,372,4109.69588703862
query_3841_v9,1,4,2993.0,86.0,10001,434,4240.29616789131
query_3841_v9,1,5,2971.0,84.0,10006,421,3988.3416623007247
query_11285_v0,1,1,3296.0,299.0,10007,1609,2656.0667475728155
query_11285_v0,1,2,3244.0,307.0,10001,749,2740.1245376078914
query_11285_v0,1,3,3258.0,303.0,10001,695,2760.475138121547
query_11285_v0,1,4,3250.0,297.0,10005,540,2905.2886153846152
query_11285_v0,1,5,3188.0,316.0,10000,654,3036.831869510665
c6_role1_s,1,1,2560.0,2440.0,10000,2651,31192.876349852828
c6_role1_s,1,2,2547.0,2454.0,10002,1335,31103.43685729927
c6_role1_s,1,3,2554.0,2446.0,10000,1269,31131.984363323034
c6_role1_s,1,4,2547.0,2453.0,10000,989,31380.414419186887
c6_role1_s,1,5,2558.0,2443.0,10002,1134,31184.852159759983
query_1710_v6,1,1,2344.0,20.0,10000,875,96.09916968621732
query_1710_v6,1,2,2377.0,19.0,10003,266,83.94492317474281
query_1710_v6,1,3,2347.0,24.0,10005,236,106.42503724428728
query_1710_v6,1,4,2347.0,18.0,10001,224,106.69154262527321
query_1710_v6,1,5,2352.0,23.0,10000,259,108.38526421598053
query_3965_v2,1,1,1297.0,1203.0,10000,2451,2969.43982630273
query_3965_v2,1,2,1306.0,1195.0,10004,1120,2984.406088184529
query_3965_v2,1,3,1303.0,1197.0,10000,1154,2985.653032440057
query_3965_v2,1,4,1295.0,1205.0,10000,1000,2978.0714285714294
query_3965_v2,1,5,1302.0,1199.0,10004,995,2988.768050117463
query_3872_v0,1,1,2665.0,1013.0,10002,2121,1576.2395749196546
query_3872_v0,1,2,2697.0,1001.0,10000,1018,1539.9919122382282
query_3872_v0,1,3,2649.0,1028.0,10004,933,1577.2016908045284
query_3872_v0,1,4,2668.0,1007.0,10000,599,1585.7326242527029
query_3872_v0,1,5,2642.0,1026.0,10004,624,1604.019696611829
c6_role2_o,1,1,2546.0,2286.0,10000,2671,14638.40720703612
c6_role2_o,1,2,2533.0,2298.0,10000,1680,15169.804695430217
c6_role2_o,1,3,2532.0,2286.0,10000,1470,13312.83166171032
c6_role2_o,1,4,2534.0,2304.0,10003,1242,14770.177255305693
c6_role2_o,1,5,2544.0,2287.0,10001,1265,12563.512342237247
query_9996_v2,1,1,8588.0,0.0,10000,665,0.0
query_9996_v2,1,2,8517.0,2.0,10000,253,6.557750808543342
query_9996_v2,1,3,8476.0,2.0,10000,214,0.9448541670703674
query_9996_v2,1,4,8428.0,1.0,10000,228,0.7363334340078524
query_9996_v2,1,5,8623.0,0.0,10002,194,0.0
