query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
Q-10078_v4,1,5,5044.0,55.0,10000,329,340
c6_pc3_o,1,5,3133.0,1846.0,10002,914,367
c6_pc11_s,1,5,3521.0,1479.0,10000,771,1673
c6_role2_o,1,5,2544.0,2287.0,10001,1176,12564
c6_pc14_s,1,5,3169.0,1831.0,10000,806,2591
c6_role2_s,1,5,2573.0,2427.0,10000,1123,21242
Q-10082_v4,1,5,5055.0,52.0,10000,342,355
Q-10122_v3,1,5,5321.0,155.0,10000,602,155
Q-1003_v2,1,5,7947.0,73.0,10014,391,60
c6_pc14_o,1,5,3414.0,1568.0,10001,853,595
Q-10122_v2,1,5,4920.0,150.0,10002,461,553
Q-10025_v2,1,5,8660.0,0.0,10000,169,0
C6_role1_s,1,5,2558.0,2443.0,10002,976,31185
c6_pc5_s,1,5,3534.0,1466.0,10000,794,1681
c6_pc12_o,1,5,3438.0,1548.0,10000,746,373
c6_pc9_s,1,5,3518.0,1482.0,10000,783,1703
c6_pc10_o,1,5,3394.0,1594.0,10002,638,398
Q-10020_v4,1,5,4743.0,108.0,10000,488,881
c6_role0_o,1,5,2489.0,2284.0,10000,1127,28805
c6_pc11_o,1,5,3426.0,1562.0,10003,895,402
c6_pc3_s,1,5,3530.0,1471.0,10002,629,1661
SPO_s,1,5,5056.0,4944.0,10000,292,95651
c6_role0_s,1,5,2531.0,2470.0,10002,969,58632
C6_role1_o,1,5,2502.0,2273.0,10002,1101,18469
SPO_o,1,5,5213.0,4788.0,10001,313,43943
c6_pc10_s,1,5,3512.0,1488.0,10000,649,1692
c6_pc12_s,1,5,3520.0,1480.0,10000,625,1738
Q-10169_v2,1,5,7752.0,88.0,10000,321,67
c6_pc5_o,1,5,3385.0,1601.0,10001,802,388
c6_pc9_o,1,5,3436.0,1547.0,10000,755,366
Q-10078_v4,2,5,50692.0,552.0,100002,2779,442
c6_pc3_o,2,5,38698.0,11235.0,100000,5464,1598
