query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
Q-10078_v4,1,1,4999.0,59.0,278.0,63.0,215.0,2784159.194638928,10000,5521,414
Q-10078_v4,1,2,5004.0,62.0,292.0,66.0,226.0,2422163.217226219,10001,1817,447
Q-10078_v4,1,3,4924.0,63.0,295.0,65.0,230.0,4408737.441104793,10004,1313,438
Q-10078_v4,1,4,5050.0,68.0,316.0,70.0,246.0,7482834.673861386,10000,936,489
Q-10078_v4,1,5,5044.0,55.0,249.0,62.0,187.0,4056799.12371134,10000,780,359
c6_pc3_o,1,1,2479.0,2479.0,6377.0,3625.0,2752.0,36008.12989108512,10002,2547,15261
c6_pc3_o,1,2,2481.0,2481.0,6378.0,3623.0,2755.0,35873.45102781137,10001,1271,15340
c6_pc3_o,1,3,2480.0,2480.0,6406.0,3597.0,2809.0,36105.325403225805,10003,1255,14371
c6_pc3_o,1,4,2481.0,2481.0,6439.0,3562.0,2877.0,36416.420798065294,10001,1093,14841
c6_pc3_o,1,5,2479.0,2479.0,6426.0,3577.0,2849.0,37180.60588947156,10003,1031,15812
c6_pc11_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,31321.1592,10000,2063,1686
c6_pc11_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,31881.5856,10000,838,1686
c6_pc11_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,32568.7992,10000,890,1686
c6_pc11_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,32475.0576,10000,753,1686
c6_pc11_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,31631.3832,10000,993,1686
c6_role2_o,1,1,2412.0,2412.0,6475.0,3526.0,2949.0,1809755.1376451077,10001,2256,108273
c6_role2_o,1,2,2415.0,2415.0,6489.0,3514.0,2975.0,1855459.0691511387,10003,1001,114858
c6_role2_o,1,3,2409.0,2409.0,6472.0,3529.0,2943.0,1878002.3628061437,10001,974,119302
c6_role2_o,1,4,2412.0,2412.0,6498.0,3504.0,2994.0,1894844.7728026535,10002,840,118659
c6_role2_o,1,5,2411.0,2411.0,6533.0,3470.0,3063.0,1837895.699709664,10003,804,112911
c6_pc14_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,46986.5856,10000,2104,2586
c6_pc14_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,46584.204,10000,1050,2586
c6_pc14_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,47609.2944,10000,932,2586
c6_pc14_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,47394.1392,10000,759,2586
c6_pc14_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,46666.956,10000,664,2586
c6_role2_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,1828495.032,10000,2097,21268
c6_role2_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,1838133.6896,10000,909,21268
c6_role2_s,1,3,2500.0,2500.0,5000.0,5000.0,0.0,1866649.824,10000,804,21268
c6_role2_s,1,4,2500.0,2500.0,5000.0,5000.0,0.0,1831174.8,10000,731,21268
c6_role2_s,1,5,2500.0,2500.0,5000.0,5000.0,0.0,1825440.9472,10000,659,21268
Q-10082_v4,1,1,5131.0,38.0,178.0,42.0,136.0,5838928.68622101,10000,978,267
Q-10082_v4,1,2,5184.0,30.0,139.0,31.0,108.0,971818.3327546297,10001,311,205
Q-10082_v4,1,3,5012.0,44.0,193.0,47.0,146.0,3205270.9245810057,10000,348,295
Q-10082_v4,1,4,5133.0,46.0,216.0,47.0,169.0,2578634.6210792908,10000,298,334
Q-10082_v4,1,5,5055.0,52.0,247.0,56.0,191.0,6072912.93768546,10000,228,398
Q-10122_v3,1,1,5262.0,167.0,769.0,174.0,595.0,1817771.1630558723,10017,1377,274
Q-10122_v3,1,2,5326.0,162.0,769.0,165.0,604.0,1905271.4690199026,10000,553,282
Q-10122_v3,1,3,5204.0,161.0,727.0,163.0,564.0,1896945.2571099154,10000,512,259
Q-10122_v3,1,4,5074.0,183.0,829.0,190.0,639.0,2060518.1860465116,10000,441,313
Q-10122_v3,1,5,5290.0,158.0,729.0,166.0,563.0,1703763.1871455577,10000,489,253
Q-1003_v2,1,1,8021.0,62.0,244.0,64.0,180.0,206251.59144745045,10000,1225,60
Q-1003_v2,1,2,8111.0,63.0,252.0,63.0,189.0,227849.16804339786,10000,441,66
Q-1003_v2,1,3,8187.0,54.0,213.0,54.0,159.0,172972.9341639184,10000,343,47
Q-1003_v2,1,4,8314.0,51.0,204.0,51.0,153.0,145100.93132066395,10000,325,53
Q-1003_v2,1,5,7947.0,73.0,292.0,73.0,219.0,246252.42481439537,10014,359,70
c6_pc14_o,1,1,2471.0,2471.0,6185.0,3817.0,2368.0,45735.88506677459,10002,2439,20733
c6_pc14_o,1,2,2467.0,2467.0,6217.0,3785.0,2432.0,45482.991487636806,10002,1100,19326
c6_pc14_o,1,3,2471.0,2471.0,6196.0,3806.0,2390.0,46841.03116147309,10002,1513,21852
c6_pc14_o,1,4,2470.0,2470.0,6212.0,3791.0,2421.0,47124.876923076925,10003,1254,20971
c6_pc14_o,1,5,2468.0,2468.0,6225.0,3776.0,2449.0,46063.910858995136,10001,1399,20046
Q-10122_v2,1,1,4897.0,157.0,467.0,168.0,299.0,1868988.1084337349,10019,1363,711
Q-10122_v2,1,2,4996.0,150.0,446.0,159.0,287.0,1867069.4783827062,10000,649,658
Q-10122_v2,1,3,4877.0,151.0,451.0,156.0,295.0,1903069.775886816,10000,569,670
Q-10122_v2,1,4,4756.0,169.0,495.0,187.0,308.0,1951812.085155593,10000,547,773
Q-10122_v2,1,5,4906.0,152.0,453.0,162.0,291.0,1786520.060130453,10002,519,693
Q-10025_v2,1,1,8555.0,3.0,21.0,3.0,18.0,272126.4196376388,10000,3184,4
Q-10025_v2,1,2,8629.0,3.0,21.0,3.0,18.0,560620.1080078805,10000,417,6
Q-10025_v2,1,3,8686.0,3.0,21.0,3.0,18.0,117440.23946580704,10000,406,3
Q-10025_v2,1,4,8691.0,0.0,0.0,0.0,0.0,0.0,10000,302,0
Q-10025_v2,1,5,8660.0,0.0,0.0,0.0,0.0,0.0,10000,293,0
C6_role1_s,1,1,2500.0,2500.0,5000.0,5000.0,0.0,2840034.8688,10000,1989,31173
C6_role1_s,1,2,2500.0,2500.0,5000.0,5000.0,0.0,2690429.4072,10000,1001,31173
